,index,source,target,weight,counts
322,322,Chris Christie,Al Drago,1,2
323,323,Chris Christie,Amy Coney Barrett,1,2
324,324,Chris Christie,William Barr,1,2
325,325,Chris Christie,Mike Pence,1,1
326,326,Chris Christie,Karen Pence,1,1
327,327,Chris Christie,Mark Meadows,1,2
328,328,Chris Christie,Ben Sasse,1,2
329,329,Chris Christie,Josh Hawley,1,2
330,330,Chris Christie,Kelly Loeffler,1,2
331,331,Chris Christie,Pat Cipollone,1,2
332,332,Chris Christie,Tiffany Trump,1,2
333,333,Chris Christie,Marsha Blackburn,1,2
334,334,Chris Christie,Mike Crapo,1,2
335,335,Chris Christie,Deb Fischer,1,2
336,336,Greg Laurie,Chad Gilmartin,1,1
337,337,Greg Laurie,Karoline Leavitt,1,1
338,338,Greg Laurie,Kayleigh McEnany,1,1
339,339,Greg Laurie,Al Drago,1,1
340,340,Greg Laurie,Amy Coney Barrett,1,1
341,341,Greg Laurie,William Barr,1,1
342,342,Greg Laurie,Mike Pence,1,1
343,343,Greg Laurie,Karen Pence,1,1
344,344,Greg Laurie,Mark Meadows,1,1
345,345,Greg Laurie,Ben Sasse,1,1
346,346,Greg Laurie,Josh Hawley,1,1
347,347,Greg Laurie,Kelly Loeffler,1,1
348,348,Greg Laurie,Pat Cipollone,1,1
349,349,Greg Laurie,Tiffany Trump,1,1
350,350,Greg Laurie,Marsha Blackburn,1,1
351,351,Greg Laurie,Mike Crapo,1,1
352,352,Greg Laurie,Deb Fischer,1,1
353,353,Chad Gilmartin,Karoline Leavitt,1,1
354,354,Chad Gilmartin,Kayleigh McEnany,1,1
355,355,Chad Gilmartin,Al Drago,1,1
356,356,Chad Gilmartin,Amy Coney Barrett,1,1
357,357,Chad Gilmartin,William Barr,1,1
358,358,Chad Gilmartin,Mike Pence,1,1
359,359,Chad Gilmartin,Karen Pence,1,1
360,360,Chad Gilmartin,Mark Meadows,1,1
361,361,Chad Gilmartin,Ben Sasse,1,1
362,362,Chad Gilmartin,Josh Hawley,1,1
363,363,Chad Gilmartin,Kelly Loeffler,1,1
364,364,Chad Gilmartin,Pat Cipollone,1,1
365,365,Chad Gilmartin,Tiffany Trump,1,1
366,366,Chad Gilmartin,Marsha Blackburn,1,1
367,367,Chad Gilmartin,Mike Crapo,1,1
368,368,Chad Gilmartin,Deb Fischer,1,1
369,369,Karoline Leavitt,Kayleigh McEnany,1,1
370,370,Karoline Leavitt,Al Drago,1,1
371,371,Karoline Leavitt,Amy Coney Barrett,1,1
372,372,Karoline Leavitt,William Barr,1,1
373,373,Karoline Leavitt,Mike Pence,1,1
374,374,Karoline Leavitt,Karen Pence,1,1
375,375,Karoline Leavitt,Mark Meadows,1,1
376,376,Karoline Leavitt,Ben Sasse,1,1
377,377,Karoline Leavitt,Josh Hawley,1,1
378,378,Karoline Leavitt,Kelly Loeffler,1,1
379,379,Karoline Leavitt,Pat Cipollone,1,1
380,380,Karoline Leavitt,Tiffany Trump,1,1
381,381,Karoline Leavitt,Marsha Blackburn,1,1
382,382,Karoline Leavitt,Mike Crapo,1,1
383,383,Karoline Leavitt,Deb Fischer,1,1
384,384,Kayleigh McEnany,Al Drago,1,2
385,385,Kayleigh McEnany,Amy Coney Barrett,1,1
386,386,Kayleigh McEnany,William Barr,1,1
387,387,Kayleigh McEnany,Mike Pence,1,2
388,388,Kayleigh McEnany,Karen Pence,1,2
389,389,Kayleigh McEnany,Mark Meadows,1,3
390,390,Kayleigh McEnany,Ben Sasse,1,1
391,391,Kayleigh McEnany,Josh Hawley,1,1
392,392,Kayleigh McEnany,Kelly Loeffler,1,1
393,393,Kayleigh McEnany,Pat Cipollone,1,1
394,394,Kayleigh McEnany,Tiffany Trump,1,2
395,395,Kayleigh McEnany,Marsha Blackburn,1,1
396,396,Kayleigh McEnany,Mike Crapo,1,1
397,397,Kayleigh McEnany,Deb Fischer,1,1
398,398,Al Drago,Amy Coney Barrett,1,1
399,399,Al Drago,William Barr,1,1
400,400,Al Drago,Mike Pence,1,1
401,401,Al Drago,Karen Pence,1,1
402,402,Al Drago,Mark Meadows,1,1
403,403,Al Drago,Ben Sasse,1,1
404,404,Al Drago,Josh Hawley,1,1
405,405,Al Drago,Kelly Loeffler,1,1
406,406,Al Drago,Pat Cipollone,1,1
407,407,Al Drago,Tiffany Trump,1,1
408,408,Al Drago,Marsha Blackburn,1,1
409,409,Al Drago,Mike Crapo,1,1
410,410,Al Drago,Deb Fischer,1,1
411,411,Amy Coney Barrett,William Barr,1,2
412,412,Amy Coney Barrett,Mike Pence,1,1
413,413,Amy Coney Barrett,Karen Pence,1,1
414,414,Amy Coney Barrett,Mark Meadows,1,2
415,415,Amy Coney Barrett,Ben Sasse,1,2
416,416,Amy Coney Barrett,Josh Hawley,1,2
417,417,Amy Coney Barrett,Kelly Loeffler,1,2
418,418,Amy Coney Barrett,Pat Cipollone,1,2
419,419,Amy Coney Barrett,Tiffany Trump,1,2
420,420,Amy Coney Barrett,Marsha Blackburn,1,2
421,421,Amy Coney Barrett,Mike Crapo,1,2
422,422,Amy Coney Barrett,Deb Fischer,1,2
423,423,William Barr,Mike Pence,1,1
424,424,William Barr,Karen Pence,1,1
425,425,William Barr,Mark Meadows,1,1
426,426,William Barr,Ben Sasse,1,2
427,427,William Barr,Josh Hawley,1,2
428,428,William Barr,Kelly Loeffler,1,2
429,429,William Barr,Pat Cipollone,1,2
430,430,William Barr,Tiffany Trump,1,2
431,431,William Barr,Marsha Blackburn,1,2
432,432,William Barr,Mike Crapo,1,2
433,433,William Barr,Deb Fischer,1,2
434,434,Mike Pence,Karen Pence,1,2
435,435,Mike Pence,Mark Meadows,1,2
436,436,Mike Pence,Ben Sasse,1,1
437,437,Mike Pence,Josh Hawley,1,1
438,438,Mike Pence,Kelly Loeffler,1,1
439,439,Mike Pence,Pat Cipollone,1,1
440,440,Mike Pence,Tiffany Trump,1,1
441,441,Mike Pence,Marsha Blackburn,1,1
442,442,Mike Pence,Mike Crapo,1,1
443,443,Mike Pence,Deb Fischer,1,1
444,444,Karen Pence,Mark Meadows,1,1
445,445,Karen Pence,Ben Sasse,1,1
446,446,Karen Pence,Josh Hawley,1,1
447,447,Karen Pence,Kelly Loeffler,1,1
448,448,Karen Pence,Pat Cipollone,1,1
449,449,Karen Pence,Tiffany Trump,1,1
450,450,Karen Pence,Marsha Blackburn,1,1
451,451,Karen Pence,Mike Crapo,1,1
452,452,Karen Pence,Deb Fischer,1,1
453,453,Mark Meadows,Ben Sasse,1,2
454,454,Mark Meadows,Josh Hawley,1,2
455,455,Mark Meadows,Kelly Loeffler,1,2
456,456,Mark Meadows,Pat Cipollone,1,2
457,457,Mark Meadows,Tiffany Trump,1,4
458,458,Mark Meadows,Marsha Blackburn,1,2
459,459,Mark Meadows,Mike Crapo,1,2
460,460,Mark Meadows,Deb Fischer,1,2
461,461,Ben Sasse,Josh Hawley,1,1
462,462,Ben Sasse,Kelly Loeffler,1,1
463,463,Ben Sasse,Pat Cipollone,1,2
464,464,Ben Sasse,Tiffany Trump,1,2
465,465,Ben Sasse,Marsha Blackburn,1,2
466,466,Ben Sasse,Mike Crapo,1,2
467,467,Ben Sasse,Deb Fischer,1,2
468,468,Josh Hawley,Kelly Loeffler,1,2
469,469,Josh Hawley,Pat Cipollone,1,2
470,470,Josh Hawley,Tiffany Trump,1,2
471,471,Josh Hawley,Marsha Blackburn,1,2
472,472,Josh Hawley,Mike Crapo,1,2
473,473,Josh Hawley,Deb Fischer,1,2
474,474,Kelly Loeffler,Pat Cipollone,1,2
475,475,Kelly Loeffler,Tiffany Trump,1,2
476,476,Kelly Loeffler,Marsha Blackburn,1,2
477,477,Kelly Loeffler,Mike Crapo,1,2
478,478,Kelly Loeffler,Deb Fischer,1,2
479,479,Pat Cipollone,Tiffany Trump,1,2
480,480,Pat Cipollone,Marsha Blackburn,1,2
481,481,Pat Cipollone,Mike Crapo,1,2
482,482,Pat Cipollone,Deb Fischer,1,2
483,483,Tiffany Trump,Marsha Blackburn,1,2
484,484,Tiffany Trump,Mike Crapo,1,2
485,485,Tiffany Trump,Deb Fischer,1,2
486,486,Marsha Blackburn,Mike Crapo,1,2
487,487,Marsha Blackburn,Deb Fischer,1,2
488,488,Mike Crapo,Deb Fischer,1,2
489,489,Donald Trump,Kayleigh McEnany,1,6
490,490,Donald Trump,Michael Shear,1,1
491,491,Donald Trump,Dan Scavino,1,4
492,492,Kayleigh McEnany,Michael Shear,1,1
493,493,Kayleigh McEnany,Dan Scavino,1,2
494,494,Michael Shear,Dan Scavino,1,1
495,495,Donald Trump,Chris Christie,1,4
496,496,Donald Trump,Hope Hicks,1,4
497,497,Donald Trump,Stephen Miller,1,3
498,498,Donald Trump,Rudolph Giuliani,1,3
499,499,Chris Christie,Hope Hicks,1,1
500,500,Chris Christie,Stephen Miller,1,1
501,501,Chris Christie,Rudolph Giuliani,1,2
502,502,Hope Hicks,Stephen Miller,1,3
503,503,Hope Hicks,Rudolph Giuliani,1,1
504,504,Stephen Miller,Rudolph Giuliani,1,1
505,505,Donald Trump,Kayleigh McEnany,1,6
506,506,Donald Trump,Chris Christie,1,4
507,507,Donald Trump,Al Drago,1,2
508,508,Donald Trump,Rudolph Giuliani,1,3
509,509,Kayleigh McEnany,Chris Christie,1,1
510,510,Kayleigh McEnany,Al Drago,1,2
511,511,Kayleigh McEnany,Rudolph Giuliani,1,2
512,512,Chris Christie,Al Drago,1,2
513,513,Chris Christie,Rudolph Giuliani,1,2
514,514,Al Drago,Rudolph Giuliani,1,1
515,515,Donald Trump,Melania Trump,1,5
516,516,Donald Trump,Kayleigh McEnany,1,6
517,517,Donald Trump,Charles Ray,1,1
518,518,Donald Trump,Mike Pence,1,4
519,519,Donald Trump,Karen Pence,1,2
520,520,Melania Trump,Kayleigh McEnany,1,3
521,521,Melania Trump,Charles Ray,1,1
522,522,Melania Trump,Mike Pence,1,2
523,523,Melania Trump,Karen Pence,1,2
524,524,Kayleigh McEnany,Charles Ray,1,1
525,525,Kayleigh McEnany,Mike Pence,1,2
526,526,Kayleigh McEnany,Karen Pence,1,2
527,527,Charles Ray,Mike Pence,1,1
528,528,Charles Ray,Karen Pence,1,1
529,529,Mike Pence,Karen Pence,1,2
530,530,Donald Trump,Peter Navarro,1,1
531,531,Donald Trump,Rob Portman,1,1
532,532,Donald Trump,Mike Turner,1,1
533,533,Peter Navarro,Rob Portman,1,1
534,534,Peter Navarro,Mike Turner,1,1
535,535,Rob Portman,Mike Turner,1,1
536,536,Donald Trump,Mike Pence,1,4
537,537,Donald Trump,Alex Azar,1,2
