index,source,target,weight,counts
79,Chris Christie,Pat Cipollone,1,2
225,Melania Trump,Mike Pence,1,2
217,Melania Trump,Chris Christie,1,2
57,Melania Trump,Amy Coney Barrett,1,2
59,Melania Trump,William Barr,1,2
61,Melania Trump,Josh Hawley,1,2
62,Melania Trump,Kelly Loeffler,1,2
63,Melania Trump,Ben Sasse,1,2
64,Melania Trump,Pat Cipollone,1,2
66,Melania Trump,Marsha Blackburn,1,2
67,Melania Trump,Mike Crapo,1,2
224,Melania Trump,William Barr,1,2
68,Melania Trump,Deb Fischer,1,2
223,Melania Trump,Amy Coney Barrett,1,2
72,Chris Christie,Amy Coney Barrett,1,2
73,Chris Christie,Mark Meadows,1,2
216,Melania Trump,Thom Tillis,1,2
78,Chris Christie,Ben Sasse,1,2
74,Chris Christie,William Barr,1,2
214,Melania Trump,John Jenkins,1,2
213,Melania Trump,Mike Lee,1,2
212,Donald Trump,Deb Fischer,1,2
211,Donald Trump,Mike Crapo,1,2
210,Donald Trump,Marsha Blackburn,1,2
208,Donald Trump,Pat Cipollone,1,2
206,Donald Trump,Josh Hawley,1,2
205,Donald Trump,Ben Sasse,1,2
201,Donald Trump,William Barr,1,2
200,Donald Trump,Amy Coney Barrett,1,2
76,Chris Christie,Josh Hawley,1,2
77,Chris Christie,Kelly Loeffler,1,2
165,Josh Hawley,Marsha Blackburn,1,2
164,Josh Hawley,Tiffany Trump,1,2
163,Josh Hawley,Pat Cipollone,1,2
120,John Jenkins,Marsha Blackburn,1,2
103,Mike Lee,Josh Hawley,1,2
132,Amy Coney Barrett,Mike Crapo,1,2
131,Amy Coney Barrett,Marsha Blackburn,1,2
130,Amy Coney Barrett,Tiffany Trump,1,2
129,Amy Coney Barrett,Pat Cipollone,1,2
128,Amy Coney Barrett,Ben Sasse,1,2
127,Amy Coney Barrett,Kelly Loeffler,1,2
126,Amy Coney Barrett,Josh Hawley,1,2
104,Mike Lee,Kelly Loeffler,1,2
124,Amy Coney Barrett,William Barr,1,2
123,Amy Coney Barrett,Mark Meadows,1,2
122,John Jenkins,Deb Fischer,1,2
121,John Jenkins,Mike Crapo,1,2
119,John Jenkins,Tiffany Trump,1,2
161,Josh Hawley,Kelly Loeffler,1,2
105,Mike Lee,Ben Sasse,1,2
118,John Jenkins,Pat Cipollone,1,2
117,John Jenkins,Ben Sasse,1,2
116,John Jenkins,Kelly Loeffler,1,2
115,John Jenkins,Josh Hawley,1,2
113,John Jenkins,William Barr,1,2
112,John Jenkins,Mark Meadows,1,2
111,John Jenkins,Amy Coney Barrett,1,2
110,Mike Lee,Deb Fischer,1,2
109,Mike Lee,Mike Crapo,1,2
108,Mike Lee,Marsha Blackburn,1,2
107,Mike Lee,Tiffany Trump,1,2
106,Mike Lee,Pat Cipollone,1,2
101,Mike Lee,William Barr,1,2
100,Mike Lee,Mark Meadows,1,2
99,Mike Lee,Amy Coney Barrett,1,2
98,Mike Lee,John Jenkins,1,2
