,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
49,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'TT')",DT,TT,DT,Donald Trump,TT,Tiffany Trump,1
50,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'MB')",DT,MB,DT,Donald Trump,MB,Marsha Blackburn,1
51,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'MC')",DT,MC,DT,Donald Trump,MC,Mike Crapo,1
52,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('DT', 'DF')",DT,DF,DT,Donald Trump,DF,Deb Fischer,1
53,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'CC')",MT,CC,MT,Melania Trump,CC,Chris Christie,1
54,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'THOMT')",MT,THOMT,MT,Melania Trump,THOMT,Thom Tillis,1
55,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'ML')",MT,ML,MT,Melania Trump,ML,Mike Lee,1
56,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'JJ')",MT,JJ,MT,Melania Trump,JJ,John Jenkins,1
57,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'ACB')",MT,ACB,MT,Melania Trump,ACB,Amy Coney Barrett,1
58,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'MM')",MT,MM,MT,Melania Trump,MM,Mark Meadows,1
59,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'WB')",MT,WB,MT,Melania Trump,WB,William Barr,1
60,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'AA')",MT,AA,MT,Melania Trump,AA,Alex Azar,1
61,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'JH')",MT,JH,MT,Melania Trump,JH,Josh Hawley,1
